id,name,type,github,size_csv,size_zip,url
23yp-ig2k,THRIVE Region Census Block Groups,dataset,True,0.81,0.25,https://internal.chattadata.org/api/views/23yp-ig2k/rows.csv?accessType=DOWNLOAD
8zpt-8xs5,TDH Vaccine County Age Groups Census Aggregated 85+,dataset,True,45.7,4.27,https://internal.chattadata.org/api/views/8zpt-8xs5/rows.csv?accessType=DOWNLOAD
w96c-2m54,Habitat For Humanity Houses,dataset,True,0.03,0.01,https://internal.chattadata.org/api/views/w96c-2m54/rows.csv?accessType=DOWNLOAD
2yfe-nzw5,Hamilton County 2020 Census Blocks,dataset,True,8.38,2.19,https://internal.chattadata.org/api/views/2yfe-nzw5/rows.csv?accessType=DOWNLOAD
smb5-msar,Hamilton County 2020 Census Tracts,dataset,True,1.06,0.26,https://internal.chattadata.org/api/views/smb5-msar/rows.csv?accessType=DOWNLOAD
9s24-ev5q,Hamilton County 2020 Census Block Groups,dataset,True,1.78,0.42,https://internal.chattadata.org/api/views/9s24-ev5q/rows.csv?accessType=DOWNLOAD
khdy-zhbc,Automated Job Log View With Time,filter,True,9.06,1.31,https://internal.chattadata.org/api/views/khdy-zhbc/rows.csv?accessType=DOWNLOAD
rxi2-hh7w,Form Based Code Boundary,dataset,True,0.04,0.01,https://internal.chattadata.org/api/views/rxi2-hh7w/rows.csv?accessType=DOWNLOAD
uk73-wbxr,Parcel Zoning,dataset,True,66.74,15.95,https://internal.chattadata.org/api/views/uk73-wbxr/rows.csv?accessType=DOWNLOAD
bm5f-jd5q,Sewer Subbasin Zip Codes,dataset,True,0.1,0.03,https://internal.chattadata.org/api/views/bm5f-jd5q/rows.csv?accessType=DOWNLOAD
npsx-m3tp,Sewer Subbasins,dataset,True,0.5,0.11,https://internal.chattadata.org/api/views/npsx-m3tp/rows.csv?accessType=DOWNLOAD
jjgr-pgwd,CARTA GTFS stops,dataset,True,0.04,0.01,https://internal.chattadata.org/api/views/jjgr-pgwd/rows.csv?accessType=DOWNLOAD
4giv-dvmp,TDH Vaccine County Age Groups Census,dataset,True,51.39,8.79,https://internal.chattadata.org/api/views/4giv-dvmp/rows.csv?accessType=DOWNLOAD
dcfe-eupw,TDH Vaccine County Age Groups,dataset,True,26.39,4.63,https://internal.chattadata.org/api/views/dcfe-eupw/rows.csv?accessType=DOWNLOAD
g7gx-66zx,"HCHD Cases by Race, Ethnicity, Sex - TDH Format",dataset,True,0.35,0.05,https://internal.chattadata.org/api/views/g7gx-66zx/rows.csv?accessType=DOWNLOAD
